defect,repair,inservice,cartype,manufacturer
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
OTHERS,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPAIRED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,RESET,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPAIRED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
H/W DAMAGED,REPLACED,10,R160,"Alstom, Kawasaki Rail"
H/W DAMAGED,REPLACED,10,R160,"Alstom, Kawasaki Rail"
OTHERS,REPAIRED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,RESET,10,R160,"Alstom, Kawasaki Rail"
H/W DAMAGED,RESET,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPAIRED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,REPLACED,10,R160,"Alstom, Kawasaki Rail"
DIRTY,REPLACED,10,R160,"Alstom, Kawasaki Rail"
MALFUNCTIONING,RESET,10,R160,"Alstom, Kawasaki Rail"
