defect,repair,inservice,cartype,manufacturer
OTHERS,REPLACED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
MALFUNCTIONING,REPLACED,45,R42,St. Louis Car Company
LEAKING,REPAIRED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
LEAKING,REPLACED,45,R42,St. Louis Car Company
OTHERS,REPAIRED,45,R42,St. Louis Car Company
MALFUNCTIONING,REPLACED,45,R42,St. Louis Car Company
LEAKING,REPAIRED,45,R42,St. Louis Car Company
OTHERS,REPAIRED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
OTHERS,REPLACED,45,R42,St. Louis Car Company
OTHERS,REPLACED,45,R42,St. Louis Car Company
OTHERS,CLEANED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
OTHERS,REPAIRED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
MALFUNCTIONING,REPAIRED,45,R42,St. Louis Car Company
LEAKING,REPAIRED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
OTHERS,CLEANED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
LEAKING,REPAIRED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
MALFUNCTIONING,REPAIRED,45,R42,St. Louis Car Company
MALFUNCTIONING,REPLACED,45,R42,St. Louis Car Company
OTHERS,REPLACED,45,R42,St. Louis Car Company
DIRTY,REPLACED,45,R42,St. Louis Car Company
H/W DAMAGED,REPLACED,45,R42,St. Louis Car Company
