defect,repair,inservice,cartype,manufacturer
OTHERS,REPLACED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
MALFUNCTIONING,REPLACED,"[45,50]",R42,St. Louis 
LEAKING,REPAIRED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
LEAKING,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,REPAIRED,"[45,50]",R42,St. Louis 
MALFUNCTIONING,REPLACED,"[45,50]",R42,St. Louis 
LEAKING,REPAIRED,"[45,50]",R42,St. Louis 
OTHERS,REPAIRED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,CLEANED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,REPAIRED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
MALFUNCTIONING,REPAIRED,"[45,50]",R42,St. Louis 
LEAKING,REPAIRED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,CLEANED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
LEAKING,REPAIRED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
MALFUNCTIONING,REPAIRED,"[45,50]",R42,St. Louis 
MALFUNCTIONING,REPLACED,"[45,50]",R42,St. Louis 
OTHERS,REPLACED,"[45,50]",R42,St. Louis 
DIRTY,REPLACED,"[45,50]",R42,St. Louis 
H/W DAMAGED,REPLACED,"[45,50]",R42,St. Louis 
