defect,repair,inservice,cartype,manufacturer
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
OTHERS,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPAIRED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
OTHERS,REPAIRED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
OTHERS,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
OTHERS,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,RESET,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
OTHERS,REPAIRED,"[25,30]",R68,Westinghouse 
DIRTY,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
OTHERS,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPLACED,"[25,30]",R68,Westinghouse 
DIRTY,REPLACED,"[25,30]",R68,Westinghouse 
DIRTY,REPLACED,"[25,30]",R68,Westinghouse 
LEAKING,REPLACED,"[25,30]",R68,Westinghouse 
H/W DAMAGED,REPLACED,"[25,30]",R68,Westinghouse 
DIRTY,REPLACED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
OTHERS,REPAIRED,"[25,30]",R68,Westinghouse 
MALFUNCTIONING,REPAIRED,"[25,30]",R68,Westinghouse 
