cartype,month,Year:2010,Year:2011,Year:2012,Year:2013,Year:2014,AvgRatio,TotalNumber
R142,Jun,74,51,42,38,49,0.049320388,1030
R142,Jul,81,77,57,34,20,0.05223301,1030
R142,Aug,44,48,51,28,25,0.038058252,1030
R142,Sep,25,15,19,22,15,0.018640777,1030
R142A,Jun,14,6,30,23,15,0.031428571,560
R142A,Jul,56,70,73,60,26,0.101785714,560
R142A,Aug,26,12,33,15,12,0.035,560
R142A,Sep,7,10,10,19,20,0.023571429,560
R143,Jun,0,0,2,2,0,0.003773585,212
R143,Jul,0,0,3,7,1,0.010377358,212
R143,Aug,0,0,1,2,1,0.003773585,212
R143,Sep,0,0,1,1,0,0.001886792,212
R160,Jun,11,9,19,22,8,0.008303249,1662
R160,Jul,33,9,30,30,11,0.013598075,1662
R160,Aug,27,6,15,9,6,0.007581227,1662
R160,Sep,2,2,4,15,10,0.003971119,1662
R188,Jun,0,0,0,0,1,0.001515152,132
R188,Jul,0,0,0,0,2,0.003030303,132
R188,Aug,0,0,0,0,3,0.004545455,132
R188,Sep,0,0,0,0,2,0.003030303,132
R32,Jun,33,13,23,52,16,0.123423423,222
R32,Jul,66,29,105,94,48,0.308108108,222
R32,Aug,41,28,93,24,26,0.190990991,222
R32,Sep,18,8,33,15,18,0.082882883,222
R42,Jun,1,1,1,1,4,0.032,50
R42,Jul,1,2,4,3,2,0.048,50
R42,Aug,1,2,2,3,1,0.036,50
R42,Sep,2,2,2,1,1,0.032,50
R46,Jun,23,20,25,20,5,0.024734043,752
R46,Jul,39,32,61,33,28,0.051329787,752
R46,Aug,28,27,28,19,20,0.032446809,752
R46,Sep,15,5,19,8,13,0.015957447,752
R62,Jun,97,28,26,34,20,0.13015873,315
R62,Jul,89,39,50,51,23,0.16,315
R62,Aug,84,38,57,21,28,0.144761905,315
R62,Sep,42,11,24,21,18,0.073650794,315
R62A,Jun,52,21,46,63,66,0.060194175,824
R62A,Jul,95,77,70,155,155,0.133980583,824
R62A,Aug,77,50,74,89,110,0.097087379,824
R62A,Sep,27,24,59,64,98,0.066019417,824
R68,Jun,15,11,10,14,12,0.029176471,425
R68,Jul,14,29,30,32,24,0.060705882,425
R68,Aug,32,19,12,5,16,0.039529412,425
R68,Sep,9,4,9,7,10,0.018352941,425
R68A,Jun,8,5,5,5,7,0.03,200
R68A,Jul,11,11,2,5,6,0.035,200
R68A,Aug,11,8,2,4,12,0.037,200
R68A,Sep,3,2,8,2,6,0.021,200
