cartype,month,Year:2010,Year:2011,Year:2012,Year:2013,Year:2014,TotalNumber,AvgMRatio,AvgRatio
R142,Aug,44,48,51,28,25,1030,0.05,0.05
R142,Jul,81,77,57,34,20,1030,0.07,0.05
R142,Jun,74,51,42,38,49,1030,0.06,0.05
R142,Sep,25,15,19,22,15,1030,0.02,0.05
R142A,Aug,26,12,33,15,12,560,0.04,0.06
R142A,Jul,56,70,73,60,26,560,0.13,0.06
R142A,Jun,14,6,30,23,15,560,0.04,0.06
R142A,Sep,7,10,10,19,20,560,0.03,0.06
R143,Aug,0,0,1,2,1,212,0,0.01
R143,Jul,0,0,3,7,1,212,0.01,0.01
R143,Jun,0,0,2,2,0,212,0,0.01
R143,Sep,0,0,1,1,0,212,0,0.01
R160,Aug,27,6,15,9,6,1662,0.01,0.01
R160,Jul,33,9,30,30,11,1662,0.02,0.01
R160,Jun,11,9,19,22,8,1662,0.01,0.01
R160,Sep,2,2,4,15,10,1662,0,0.01
R188,Aug,0,0,0,0,3,132,0.01,0
R188,Jul,0,0,0,0,2,132,0,0
R188,Jun,0,0,0,0,1,132,0,0
R188,Sep,0,0,0,0,2,132,0,0
R32,Aug,41,28,93,24,26,222,0.24,0.22
R32,Jul,66,29,105,94,48,222,0.39,0.22
R32,Jun,33,13,23,52,16,222,0.15,0.22
R32,Sep,18,8,33,15,18,222,0.1,0.22
R42,Aug,1,2,2,3,1,50,0.05,0.05
R42,Jul,1,2,4,3,2,50,0.06,0.05
R42,Jun,1,1,1,1,4,50,0.04,0.05
R42,Sep,2,2,2,1,1,50,0.04,0.05
R46,Aug,28,27,28,19,20,752,0.04,0.04
R46,Jul,39,32,61,33,28,752,0.06,0.04
R46,Jun,23,20,25,20,5,752,0.03,0.04
R46,Sep,15,5,19,8,13,752,0.02,0.04
R62,Aug,84,38,57,21,28,315,0.18,0.16
R62,Jul,89,39,50,51,23,315,0.2,0.16
R62,Jun,97,28,26,34,20,315,0.16,0.16
R62,Sep,42,11,24,21,18,315,0.09,0.16
R62A,Aug,77,50,74,89,110,824,0.12,0.11
R62A,Jul,95,77,70,155,155,824,0.17,0.11
R62A,Jun,52,21,46,63,66,824,0.08,0.11
R62A,Sep,27,24,59,64,98,824,0.08,0.11
R68,Aug,32,19,12,5,16,425,0.05,0.05
R68,Jul,14,29,30,32,24,425,0.08,0.05
R68,Jun,15,11,10,14,12,425,0.04,0.05
R68,Sep,9,4,9,7,10,425,0.02,0.05
R68A,Aug,11,8,2,4,12,200,0.05,0.04
R68A,Jul,11,11,2,5,6,200,0.04,0.04
R68A,Jun,8,5,5,5,7,200,0.04,0.04
R68A,Sep,3,2,8,2,6,200,0.03,0.04
